0-9,!,+ - * / < > : #,= . ( ) comma { } ; [ ],a-z,A-Z,EoF,White Space
1,9,10,11,12,Error,EoFTk,0
2,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
3,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
4,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
5,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
6,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
7,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
8,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
Error,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk,IntegerTk
9,0,9,9,9,9,9,9
OperatorTk,OperatorTk,OperatorTk,OperatorTk,OperatorTk,OperatorTk,OperatorTk,OperatorTk
DelimeterTk,DelimeterTk,DelimeterTk,DelimeterTk,DelimeterTk,DelimeterTk,DelimeterTk,DelimeterTk
13,IdentifierTk,IdentifierTk,IdentifierTk,13,13,IdentifierTk,IdentifierTk
14,IdentifierTk,IdentifierTk,IdentifierTk,14,14,IdentifierTk,IdentifierTk
15,IdentifierTk,IdentifierTk,IdentifierTk,15,15,IdentifierTk,IdentifierTk
16,IdentifierTk,IdentifierTk,IdentifierTk,16,16,IdentifierTk,IdentifierTk
17,IdentifierTk,IdentifierTk,IdentifierTk,17,17,IdentifierTk,IdentifierTk
18,IdentifierTk,IdentifierTk,IdentifierTk,18,18,IdentifierTk,IdentifierTk
19,IdentifierTk,IdentifierTk,IdentifierTk,19,19,IdentifierTk,IdentifierTk
Error,IdentifierTk,IdentifierTk,IdentifierTk,Error,Error,IdentifierTk,IdentifierTk
